"user_id","friend_user_id"
"us73216","us53281"
"us73216","us86474"
"us73216","us86468"
"us73216","us33644"
"us73216","us86525"
"us73216","us86522"
"us73216","us79953"
"us73342","us73216"
"us73216","us73342"
"us73342","us86714"
"us85065","us28732"
"us82309","us83927"
"us85289","us83927"
"us85065","us81939"
"us81939","us85065"
"us85065","us81941"
"us85065","us85933"
"us85065","us48659"
"us85065","us70585"
"us81939","us70585"
"us81939","us86817"
"us85065","us83268"
"us85065","us85896"
"us85134","us48659"
"us85134","us60202"
"us85134","us36126"
"us81939","us81941"
"us81939","us67237"
"us87864","us83927"
"us69624","us89992"
"us69624","us89325"
"us69624","us35923"
"us73216","us89559"
"us89611","us89582"
"us81939","us44854"
"us81939","us88378"
"us81939","us87559"
"us91168","us89269"
"us73216","us70944"
"us91164","us87475"
"us88870","us35923"
"us88870","us89321"
"us81939","us92881"
"us84430","us59810"
"us81939","us81988"
"us81939","us89238"
"us89315","us91187"
"us79021","us84441"
"us85134","us17806"
"us87210","us13682"
"us92439","us87427"
"us93153","us48659"
"us89315","us92973"
"us93735","us17806"
"us93735","us32498"
"us93735","us110"
"us93735","us33836"
"us93735","us44854"
"us93735","us139"
"us81939","us93768"
"us93735","us58311"
"us93735","us53281"
"us93810","us34653"
"us93735","us60202"
"us93735","us13682"
"us53281","us82956"
"us53281","us83667"
"us53281","us88378"
"us53281","us62717"
"us53281","us93012"
"us53281","us43911"
"us53281","us34653"
"us53281","us28266"
"us53281","us96030"
"us53281","us7438"
"us53281","us97959"
"us53281","us56363"
"us53281","us92935"
"us53281","us98374"
"us53281","us13682"
"us53281","us98189"
"us53281","us92973"
"us53281","us98530"
"us53281","us20648"
"us53281","us101051"
"us53281","us60202"
"us53281","us101295"
"us69624","us90086"
"us68283","us34653"
"us73216","us93735"
"us73962","us81963"
"us73216","us93550"
"us94331","us72417"
"us93735","us73216"
"us93735","us82956"
"us93735","us83927"
"us93735","us92935"
"us93735","us48659"
"us93810","us92973"
"us93735","us25846"
"us93735","us32215"
"us93735","us38246"
"us87210","us34653"
"us95562","us87900"
"us93735","us95434"
"us81939","us92935"
"us81939","us58311"
"us73216","us69592"
"us73216","us81640"
"us73216","us32498"
"us73216","us95037"
"us85904","us81963"
"us85904","us85065"
"us85065","us85904"
"us85904","us48659"
"us92941","us96074"
"us81939","us25914"
"us93735","us43911"
"us97178","us58311"
"us96740","us58311"
"us96014","us48659"
"us69624","us25914"
"us73216","us98153"
"us73216","us17806"
"us97963","us97977"
"us97977","us97963"
"us97963","us98208"
"us98208","us97963"
"us96740","us98153"
"us97745","us97959"
"us96740","us60202"
"us93735","us53718"
"us98780","us98711"
"us98314","us97959"
"us98867","us81640"
"us99348","us58311"
"us99348","us98374"
"us93735","us98374"
"us93735","us98607"
"us93735","us1852"
"us99217","us58311"
"us99225","us99219"
"us96224","us99248"
"us99797","us81640"
"us99797","us91187"
"us99713","us99835"
"us99348","us99416"
"us99713","us58311"
"us73216","us60202"
"us73216","us82956"
"us73216","us35923"
"us73216","us34653"
"us73216","us97601"
"us73216","us93803"
"us73216","us83927"
"us73216","us101295"
"us98530","us100236"
"us98530","us99713"
"us99713","us98530"
"us98530","us100254"
"us98530","us56363"
"us99615","us97594"
"us99797","us86848"
"us97714","us100344"
"us98530","us53281"
"us98530","us100842"
"us93735","us63906"
"us98530","us101432"
"us33644","us53281"
"us33644","us60202"
"us33644","us108008"
"us33644","us106285"
"us33644","us81640"
"us33644","us109320"
"us33644","us63890"
"us33644","us92973"
"us33644","us91187"
"us33644","us20090"
"us36126","us109824"
"us33644","us104074"
"us33644","us112041"
"us33644","us111979"
"us33644","us112021"
"us36126","us111586"
"us36126","us100250"
"us36126","us107654"
"us36126","us102032"
"us36126","us105717"
"us36126","us113422"
"us36126","us101024"
"us36126","us99248"
"us36126","us67935"
"us36126","us112691"
"us36126","us47299"
"us36126","us98229"
"us53281","us33836"
"us53281","us99248"
"us53281","us33644"
"us53281","us35923"
"us53281","us101367"
"us53281","us139"
"us53281","us53446"
"us53281","us101024"
"us53281","us103348"
"us53281","us102273"
"us53281","us86719"
"us53281","us91164"
"us53281","us140"
"us53281","us72417"
"us53281","us102024"
"us53281","us96740"
"us53281","us100306"
"us53281","us69787"
"us53281","us102252"
"us53281","us5"
"us53281","us47299"
"us53281","us48202"
"us53281","us90086"
"us58977","us58072"
"us58066","us59957"
"us58066","us47774"
"us58066","us41874"
"us58066","us59077"
"us58811","us33644"
"us58811","us38246"
"us53718","us59781"
"us60167","us56965"
"us60349","us60277"
"us61475","us50426"
"us61567","us32215"
"us61104","us60072"
"us61958","us24465"
"us61629","us61652"
"us61104","us58311"
"us61104","us62511"
"us53718","us39512"
"us53718","us35923"
"us53718","us13682"
"us53718","us63547"
"us62878","us58311"
"us62878","us63106"
"us63304","us63292"
"us62878","us17806"
"us60349","us63028"
"us58066","us64228"
"us58066","us43911"
"us58066","us63443"
"us58066","us63588"
"us58811","us48659"
"us738","us44854"
"us64228","us58066"
"us64228","us58311"
"us64228","us63906"
"us64228","us64237"
"us64684","us53476"
"us64684","us48659"
"us64228","us48659"
"us21301","us32498"
"us34750","us29732"
"us34257","us45183"
"us38256","us45183"
"us43916","us70016"
"us21301","us72832"
"us40704","us27380"
"us40296","us70944"
"us40296","us68822"
"us40296","us58311"
"us40296","us65434"
"us47744","us17806"
"us48156","us67237"
"us58811","us43911"
"us58811","us44854"
"us60349","us40610"
"us60349","us68857"
"us45881","us58311"
"us55485","us58311"
"us53718","us48344"
"us53718","us58311"
"us53718","us40610"
"us67367","us58311"
"us69018","us68988"
"us69229","us69288"
"us68880","us69190"
"us68822","us53281"
"us69704","us58311"
